ORDERID,PURCHASE_PAGE,CITY,CUSTOMER_TYPE,GENDER
778-89-7974,C,Gyeonggi,Normal,Male
574-31-8277,B,Incheon,Member,Male
859-71-0933,C,Gyeonggi,Member,Female
740-11-5257,C,Gyeonggi,Normal,Male
369-82-2676,B,Incheon,Normal,Male
563-47-4072,B,Incheon,Normal,Female
742-04-5161,A,Seoul,Member,Male
149-15-7606,B,Incheon,Member,Male
133-77-3154,B,Incheon,Member,Male
169-52-4504,A,Seoul,Normal,Female
250-81-7186,C,Gyeonggi,Normal,Female
562-12-5430,A,Seoul,Member,Female
816-72-8853,A,Seoul,Member,Female
491-38-3499,A,Seoul,Member,Male
322-02-2271,B,Incheon,Normal,Female
842-29-4695,C,Gyeonggi,Member,Male
725-67-2480,B,Incheon,Member,Female
641-51-2661,C,Gyeonggi,Member,Female
714-02-3114,C,Gyeonggi,Normal,Female
518-17-2983,A,Seoul,Normal,Female
779-42-2410,B,Incheon,Member,Male
190-14-3147,B,Incheon,Normal,Female
408-66-6712,C,Gyeonggi,Member,Female
679-22-6530,B,Incheon,Normal,Female
588-47-8641,A,Seoul,Member,Male
642-61-4706,B,Incheon,Member,Male
576-31-4774,B,Incheon,Normal,Female
556-41-6224,C,Gyeonggi,Normal,Male
811-03-8790,A,Seoul,Normal,Female
242-11-3142,B,Incheon,Member,Male
752-23-3760,B,Incheon,Member,Female
274-05-5470,A,Seoul,Member,Female
648-94-3045,C,Gyeonggi,Normal,Male
130-67-4723,A,Seoul,Member,Male
528-87-5606,B,Incheon,Member,Female
320-85-2052,B,Incheon,Normal,Female
370-96-0655,C,Gyeonggi,Normal,Female
105-10-6182,A,Seoul,Member,Male
510-79-0415,B,Incheon,Member,Female
241-96-5076,B,Incheon,Member,Female
767-97-4650,B,Incheon,Member,Female
648-83-1321,A,Seoul,Member,Male
173-57-2300,C,Gyeonggi,Member,Male
305-03-2383,A,Seoul,Normal,Female
394-55-6384,C,Gyeonggi,Member,Female
266-20-6657,C,Gyeonggi,Member,Male
689-05-1884,A,Seoul,Member,Male
196-01-2849,C,Gyeonggi,Member,Female
372-62-5264,C,Gyeonggi,Normal,Female
800-09-8606,A,Seoul,Member,Female
182-52-7000,A,Seoul,Member,Female
826-58-8051,B,Incheon,Normal,Male
868-06-0466,A,Seoul,Member,Male
751-41-9720,C,Gyeonggi,Normal,Male
626-43-7888,C,Gyeonggi,Normal,Female
176-64-7711,B,Incheon,Normal,Male
191-29-0321,B,Incheon,Member,Female
729-06-2010,B,Incheon,Member,Male
640-48-5028,B,Incheon,Member,Female
186-79-9562,B,Incheon,Normal,Male
834-45-5519,B,Incheon,Normal,Female
162-65-8559,C,Gyeonggi,Member,Male
760-27-5490,C,Gyeonggi,Normal,Male
445-30-9252,A,Seoul,Normal,Male
786-94-2700,A,Seoul,Member,Male
728-88-7867,C,Gyeonggi,Member,Female
183-21-3799,C,Gyeonggi,Normal,Female
268-20-3585,C,Gyeonggi,Normal,Female
735-32-9839,C,Gyeonggi,Member,Male
258-92-7466,A,Seoul,Normal,Female
857-16-3520,A,Seoul,Member,Female
482-17-1179,A,Seoul,Member,Male
788-21-5741,A,Seoul,Normal,Male
821-14-9046,B,Incheon,Member,Female
418-05-0656,B,Incheon,Normal,Female
678-79-0726,C,Gyeonggi,Member,Female
776-68-1096,B,Incheon,Normal,Male
592-46-1692,C,Gyeonggi,Member,Female
434-35-9162,B,Incheon,Member,Male
149-14-0304,C,Gyeonggi,Member,Female
442-44-6497,C,Gyeonggi,Member,Male
174-64-0215,B,Incheon,Normal,Male
210-74-9613,C,Gyeonggi,Normal,Male
299-29-0180,B,Incheon,Member,Female
247-11-2470,A,Seoul,Member,Female
635-28-5728,A,Seoul,Normal,Male
756-49-0168,A,Seoul,Member,Male
438-23-1242,B,Incheon,Normal,Male
238-45-6950,B,Incheon,Member,Male
607-65-2441,C,Gyeonggi,Member,Male
386-27-7606,C,Gyeonggi,Member,Female
137-63-5492,C,Gyeonggi,Normal,Male
197-77-7132,B,Incheon,Member,Male
805-86-0265,A,Seoul,Normal,Male
733-29-1227,C,Gyeonggi,Normal,Male
451-73-2711,C,Gyeonggi,Normal,Male
373-14-0504,A,Seoul,Member,Female
546-80-2899,A,Seoul,Member,Male
345-68-9016,C,Gyeonggi,Member,Female
390-17-5806,C,Gyeonggi,Member,Female
457-13-1708,B,Incheon,Member,Male
664-14-2882,C,Gyeonggi,Member,Female
487-79-6868,B,Incheon,Member,Female
314-23-4520,C,Gyeonggi,Member,Male
210-30-7976,B,Incheon,Member,Female
585-86-8361,A,Seoul,Normal,Female
807-14-7833,A,Seoul,Member,Female
775-72-1988,B,Incheon,Normal,Male
288-38-3758,C,Gyeonggi,Member,Female
652-43-6591,A,Seoul,Normal,Female
785-96-0615,B,Incheon,Member,Female
406-46-7107,A,Seoul,Normal,Female
250-17-5703,A,Seoul,Member,Male
156-95-3964,A,Seoul,Normal,Female
842-40-8179,B,Incheon,Member,Female
525-09-8450,B,Incheon,Normal,Male
410-67-1709,A,Seoul,Member,Female
587-73-4862,A,Seoul,Member,Female
787-87-2010,A,Seoul,Member,Male
593-14-4239,B,Incheon,Normal,Female
801-88-0346,C,Gyeonggi,Normal,Female
388-76-2555,B,Incheon,Normal,Male
711-31-1234,B,Incheon,Normal,Female
886-54-6089,A,Seoul,Normal,Female
707-32-7409,B,Incheon,Member,Female
759-98-4285,C,Gyeonggi,Member,Female
201-63-8275,C,Gyeonggi,Member,Female
471-06-8611,C,Gyeonggi,Normal,Female
200-16-5952,C,Gyeonggi,Member,Male
120-54-2248,B,Incheon,Normal,Female
102-77-2261,C,Gyeonggi,Member,Male
875-31-8302,B,Incheon,Normal,Male
102-06-2002,C,Gyeonggi,Member,Male
457-94-0464,B,Incheon,Member,Male
629-42-4133,C,Gyeonggi,Normal,Male
534-53-3526,A,Seoul,Normal,Female
307-04-2070,A,Seoul,Member,Female
468-99-7231,C,Gyeonggi,Normal,Female
516-77-6464,C,Gyeonggi,Member,Female
404-91-5964,A,Seoul,Normal,Male
886-77-9084,C,Gyeonggi,Normal,Male
790-38-4466,C,Gyeonggi,Normal,Female
704-10-4056,C,Gyeonggi,Member,Male
497-37-6538,A,Seoul,Normal,Male
651-96-5970,A,Seoul,Normal,Male
400-80-4065,C,Gyeonggi,Member,Male
744-16-7898,B,Incheon,Normal,Female
263-12-5321,A,Seoul,Member,Male
702-72-0487,A,Seoul,Normal,Female
605-83-1050,B,Incheon,Normal,Male
443-60-9639,C,Gyeonggi,Member,Female
864-24-7918,A,Seoul,Member,Female
359-94-5395,B,Incheon,Normal,Male
401-09-4232,C,Gyeonggi,Member,Male
751-15-6198,B,Incheon,Normal,Male
324-41-6833,C,Gyeonggi,Member,Female
474-33-8305,C,Gyeonggi,Member,Male
759-29-9521,A,Seoul,Member,Female
831-81-6575,B,Incheon,Member,Female
220-68-6701,A,Seoul,Normal,Female
618-34-8551,A,Seoul,Normal,Female
257-60-7754,A,Seoul,Normal,Female
559-61-5987,B,Incheon,Normal,Female
189-55-2313,C,Gyeonggi,Normal,Female
565-91-4567,B,Incheon,Normal,Male
380-60-5336,A,Seoul,Normal,Female
815-04-6282,C,Gyeonggi,Member,Female
674-56-6360,A,Seoul,Normal,Male
778-34-2523,A,Seoul,Member,Female
499-27-7781,B,Incheon,Normal,Female
477-59-2456,C,Gyeonggi,Normal,Female
832-51-6761,A,Seoul,Normal,Male
869-11-3082,B,Incheon,Member,Male
190-59-3964,B,Incheon,Member,Male
366-43-6862,B,Incheon,Normal,Male
186-43-8965,A,Seoul,Member,Female
784-21-9238,C,Gyeonggi,Member,Male
276-75-6884,A,Seoul,Normal,Female
109-86-4363,B,Incheon,Member,Female
569-76-2760,A,Seoul,Member,Female
222-42-0244,B,Incheon,Member,Female
760-53-9233,A,Seoul,Member,Male
538-22-0304,C,Gyeonggi,Normal,Male
416-17-9926,A,Seoul,Member,Female
237-44-6163,A,Seoul,Normal,Male
636-17-0325,B,Incheon,Normal,Male
343-75-9322,B,Incheon,Member,Female
528-14-9470,A,Seoul,Member,Male
427-45-9297,B,Incheon,Member,Female
807-34-3742,A,Seoul,Normal,Male
288-62-1085,A,Seoul,Member,Male
670-71-7306,B,Incheon,Normal,Male
660-29-7083,C,Gyeonggi,Normal,Male
271-77-8740,C,Gyeonggi,Member,Female
497-36-0989,A,Seoul,Normal,Male
291-59-1384,B,Incheon,Normal,Male
860-73-6466,A,Seoul,Member,Female
549-23-9016,C,Gyeonggi,Member,Female
896-34-0956,A,Seoul,Normal,Male
804-38-3935,A,Seoul,Member,Male
585-90-0249,A,Seoul,Member,Male
862-29-5914,C,Gyeonggi,Normal,Female
845-94-6841,C,Gyeonggi,Member,Female
125-45-2293,A,Seoul,Normal,Female
843-73-4724,A,Seoul,Normal,Male
409-33-9708,A,Seoul,Normal,Female
658-66-3967,C,Gyeonggi,Normal,Male
866-70-2814,B,Incheon,Normal,Female
160-22-2687,A,Seoul,Member,Female
895-03-6665,B,Incheon,Normal,Female
770-42-8960,B,Incheon,Normal,Male
748-45-2862,A,Seoul,Member,Female
234-36-2483,B,Incheon,Normal,Male
316-66-3011,A,Seoul,Member,Female
848-95-6252,C,Gyeonggi,Member,Female
840-76-5966,A,Seoul,Member,Male
152-03-4217,B,Incheon,Normal,Female
533-66-5566,B,Incheon,Normal,Female
124-31-1458,A,Seoul,Member,Female
176-78-1170,C,Gyeonggi,Member,Male
361-59-0574,B,Incheon,Member,Male
101-81-4070,C,Gyeonggi,Member,Female
631-34-1880,C,Gyeonggi,Member,Male
852-82-2749,A,Seoul,Normal,Male
873-14-6353,A,Seoul,Member,Male
584-66-4073,C,Gyeonggi,Normal,Male
544-55-9589,B,Incheon,Member,Female
166-19-2553,A,Seoul,Member,Male
737-88-5876,A,Seoul,Member,Male
154-87-7367,C,Gyeonggi,Normal,Male
885-56-0389,C,Gyeonggi,Member,Male
608-05-3804,B,Incheon,Member,Male
448-61-3783,A,Seoul,Normal,Female
761-49-0439,B,Incheon,Member,Female
490-95-0021,B,Incheon,Member,Female
115-38-7388,C,Gyeonggi,Member,Female
311-13-6971,B,Incheon,Member,Male
291-55-6563,A,Seoul,Member,Female
548-48-3156,A,Seoul,Member,Female
460-93-5834,A,Seoul,Normal,Male
325-89-4209,A,Seoul,Member,Male
884-80-6021,A,Seoul,Member,Female
137-74-8729,C,Gyeonggi,Normal,Female
880-46-5796,A,Seoul,Member,Male
389-70-2397,C,Gyeonggi,Normal,Female
114-35-5271,B,Incheon,Normal,Female
607-76-6216,C,Gyeonggi,Member,Female
715-20-1673,B,Incheon,Normal,Male
811-35-1094,B,Incheon,Member,Male
699-88-1972,B,Incheon,Normal,Male
781-84-8059,C,Gyeonggi,Normal,Male
409-49-6995,C,Gyeonggi,Member,Female
725-54-0677,C,Gyeonggi,Member,Male
146-09-5432,A,Seoul,Member,Male
377-79-7592,C,Gyeonggi,Member,Female
509-10-0516,B,Incheon,Normal,Male
595-94-9924,A,Seoul,Member,Female
865-41-9075,A,Seoul,Normal,Male
545-07-8534,C,Gyeonggi,Normal,Female
118-62-1812,C,Gyeonggi,Member,Female
450-42-3339,C,Gyeonggi,Normal,Male
851-98-3555,B,Incheon,Normal,Female
186-71-5196,A,Seoul,Member,Female
624-01-8356,B,Incheon,Normal,Female
313-66-9943,B,Incheon,Member,Female
151-27-8496,C,Gyeonggi,Normal,Female
453-33-6436,A,Seoul,Normal,Female
522-57-8364,A,Seoul,Member,Male
459-45-2396,A,Seoul,Member,Female
717-96-4189,C,Gyeonggi,Normal,Female
722-13-2115,C,Gyeonggi,Member,Male
749-81-8133,A,Seoul,Normal,Female
777-67-2495,B,Incheon,Normal,Male
636-98-3364,B,Incheon,Member,Female
246-55-6923,C,Gyeonggi,Member,Female
181-82-6255,B,Incheon,Normal,Female
838-02-1821,C,Gyeonggi,Member,Female
887-42-0517,C,Gyeonggi,Normal,Female
457-12-0244,C,Gyeonggi,Member,Female
226-34-0034,B,Incheon,Normal,Female
321-49-7382,B,Incheon,Member,Male
397-25-8725,A,Seoul,Member,Female
431-66-2305,B,Incheon,Normal,Female
825-94-5922,B,Incheon,Normal,Male
641-62-7288,B,Incheon,Normal,Male
756-93-1854,C,Gyeonggi,Member,Female
243-55-8457,A,Seoul,Normal,Female
458-10-8612,C,Gyeonggi,Normal,Male
501-61-1753,B,Incheon,Normal,Female
235-06-8510,C,Gyeonggi,Member,Male
433-08-7822,C,Gyeonggi,Normal,Female
361-85-2571,A,Seoul,Normal,Female
131-70-8179,A,Seoul,Member,Female
500-02-2261,C,Gyeonggi,Normal,Female
720-72-2436,A,Seoul,Normal,Male
702-83-5291,C,Gyeonggi,Member,Male
809-69-9497,A,Seoul,Normal,Female
449-16-6770,A,Seoul,Normal,Male
333-23-2632,A,Seoul,Member,Male
489-82-1237,A,Seoul,Normal,Female
859-97-6048,C,Gyeonggi,Member,Male
676-10-2200,B,Incheon,Member,Male
373-88-1424,C,Gyeonggi,Member,Male
365-16-4334,B,Incheon,Normal,Female
503-21-4385,B,Incheon,Member,Male
305-89-2768,B,Incheon,Member,Female
574-80-1489,B,Incheon,Member,Female
784-08-0310,C,Gyeonggi,Member,Female
200-40-6154,B,Incheon,Member,Male
846-10-0341,A,Seoul,Normal,Female
577-34-7579,C,Gyeonggi,Member,Male
430-02-3888,B,Incheon,Normal,Male
867-47-1948,C,Gyeonggi,Normal,Female
384-59-6655,A,Seoul,Member,Female
256-58-3609,C,Gyeonggi,Member,Male
324-92-3863,A,Seoul,Member,Male
593-08-5916,A,Seoul,Normal,Female
364-34-2972,C,Gyeonggi,Member,Male
794-42-3736,B,Incheon,Normal,Male
172-42-8274,B,Incheon,Normal,Female
558-60-5016,A,Seoul,Normal,Female
195-06-0432,A,Seoul,Member,Male
605-03-2706,A,Seoul,Normal,Female
214-30-2776,B,Incheon,Member,Female
746-04-1077,B,Incheon,Member,Female
448-34-8700,B,Incheon,Member,Male
452-04-8808,B,Incheon,Normal,Male
531-56-4728,A,Seoul,Normal,Male
744-82-9138,C,Gyeonggi,Normal,Male
883-69-1285,B,Incheon,Member,Male
221-25-5073,A,Seoul,Normal,Female
518-71-6847,B,Incheon,Member,Male
156-20-0370,B,Incheon,Normal,Female
151-33-7434,B,Incheon,Normal,Female
728-47-9078,C,Gyeonggi,Member,Male
809-46-1866,A,Seoul,Normal,Male
139-32-4183,A,Seoul,Member,Female
148-41-7930,C,Gyeonggi,Normal,Male
189-40-5216,C,Gyeonggi,Normal,Male
374-38-5555,B,Incheon,Normal,Female
764-44-8999,B,Incheon,Normal,Female
552-44-5977,B,Incheon,Member,Male
267-62-7380,C,Gyeonggi,Member,Male
430-53-4718,B,Incheon,Member,Male
886-18-2897,A,Seoul,Normal,Female
602-16-6955,B,Incheon,Normal,Female
745-74-0715,A,Seoul,Normal,Male
690-01-6631,B,Incheon,Normal,Male
652-49-6720,C,Gyeonggi,Member,Female
233-67-5758,C,Gyeonggi,Normal,Male
303-96-2227,B,Incheon,Normal,Female
727-02-1313,A,Seoul,Member,Male
347-56-2442,A,Seoul,Normal,Male
849-09-3807,A,Seoul,Member,Female
